hora,dia,mes,ano,estacion,dia_de_la_semana,asueto,temperatura,sensacion_termica,humedad,velocidad_del_viento,rentas_de_no_registrados,rentas_de_registrados,rentas_totales
18,2,1,2011,1,7,0,14.76,16.665,46,22.0028,10,43,53
19,2,1,2011,1,7,0,13.12,14.395,42,30.0026,1,29,30
20,2,1,2011,1,7,0,12.3,13.635,39,23.9994,5,17,22
21,2,1,2011,1,7,0,10.66,11.365,44,22.0028,11,20,31
22,2,1,2011,1,7,0,9.84,10.605,44,19.9995,0,9,9
23,2,1,2011,1,7,0,9.02,11.365,47,11.0014,0,8,8
0,3,1,2011,1,1,0,9.02,9.85,44,23.9994,0,5,5
1,3,1,2011,1,1,0,8.2,8.335,44,27.9993,0,2,2
4,3,1,2011,1,1,0,6.56,6.82,47,26.0027,0,1,1
5,3,1,2011,1,1,0,6.56,6.82,47,19.0012,0,3,3
6,3,1,2011,1,1,0,5.74,5.305,50,26.0027,0,30,30
7,3,1,2011,1,1,0,5.74,6.82,50,12.998,1,63,64
8,3,1,2011,1,1,0,5.74,6.06,50,19.0012,1,153,154
9,3,1,2011,1,1,0,6.56,6.82,43,26.0027,7,81,88
10,3,1,2011,1,1,0,7.38,8.335,43,16.9979,11,33,44
11,3,1,2011,1,1,0,8.2,9.09,40,22.0028,10,41,51
12,3,1,2011,1,1,0,9.02,10.605,35,19.9995,13,48,61
13,3,1,2011,1,1,0,9.84,10.605,35,19.0012,8,53,61
14,3,1,2011,1,1,0,10.66,12.12,30,19.0012,11,66,77
15,3,1,2011,1,1,0,10.66,12.12,30,16.9979,14,58,72
16,3,1,2011,1,1,0,10.66,12.12,30,16.9979,9,67,76
17,3,1,2011,1,1,0,9.84,11.365,30,15.0013,11,146,157
18,3,1,2011,1,1,0,9.84,12.88,32,7.0015,9,148,157
19,3,1,2011,1,1,0,8.2,12.88,47,0,8,102,110
20,3,1,2011,1,1,0,8.2,11.365,47,7.0015,3,49,52
21,3,1,2011,1,1,0,7.38,9.85,64,8.9981,3,49,52
22,3,1,2011,1,1,0,5.74,7.575,69,8.9981,0,20,20
23,3,1,2011,1,1,0,7.38,10.605,55,7.0015,1,11,12
0,4,1,2011,1,2,0,6.56,9.09,55,7.0015,0,5,5
1,4,1,2011,1,2,0,6.56,9.09,59,7.0015,0,2,2
2,4,1,2011,1,2,0,5.74,7.575,63,8.9981,0,1,1
4,4,1,2011,1,2,0,5.74,9.09,63,6.0032,0,2,2
5,4,1,2011,1,2,0,4.92,7.575,68,7.0015,0,4,4
6,4,1,2011,1,2,0,4.92,7.575,74,7.0015,0,36,36
7,4,1,2011,1,2,0,4.92,7.575,74,8.9981,2,92,94
8,4,1,2011,1,2,0,5.74,7.575,69,11.0014,2,177,179
9,4,1,2011,1,2,0,6.56,7.575,64,15.0013,2,98,100
10,4,1,2011,1,2,0,6.56,6.82,69,22.0028,5,37,42
11,4,1,2011,1,2,0,9.02,10.605,51,19.9995,7,50,57
12,4,1,2011,1,2,0,9.02,11.365,51,11.0014,12,66,78
13,4,1,2011,1,2,0,9.84,11.365,56,12.998,18,79,97
14,4,1,2011,1,2,0,10.66,12.88,52,15.0013,9,54,63
15,4,1,2011,1,2,0,11.48,13.635,52,16.9979,17,48,65
16,4,1,2011,1,2,0,12.3,14.395,49,16.9979,15,68,83
17,4,1,2011,1,2,0,11.48,13.635,48,15.0013,10,202,212
18,4,1,2011,1,2,0,10.66,12.88,48,12.998,3,179,182
19,4,1,2011,1,2,0,9.84,12.88,48,7.0015,2,110,112
20,4,1,2011,1,2,0,9.84,12.88,48,7.0015,1,53,54
21,4,1,2011,1,2,0,9.02,13.635,64,0,0,48,48
22,4,1,2011,1,2,0,9.02,12.88,64,6.0032,1,34,35
23,4,1,2011,1,2,0,8.2,11.365,69,6.0032,2,9,11
0,5,1,2011,1,3,0,8.2,12.88,64,0,0,6,6
1,5,1,2011,1,3,0,6.56,9.85,74,6.0032,0,6,6
2,5,1,2011,1,3,0,6.56,9.85,74,6.0032,0,2,2
4,5,1,2011,1,3,0,9.84,11.365,48,15.0013,0,2,2
5,5,1,2011,1,3,0,9.02,11.365,47,11.0014,0,3,3
6,5,1,2011,1,3,0,8.2,9.85,47,15.0013,0,33,33
7,5,1,2011,1,3,0,7.38,9.09,43,12.998,1,87,88
8,5,1,2011,1,3,0,8.2,9.09,40,19.9995,3,192,195
9,5,1,2011,1,3,0,9.02,9.85,37,22.0028,6,109,115
10,5,1,2011,1,3,0,9.02,9.85,37,22.0028,4,53,57
11,5,1,2011,1,3,0,10.66,11.365,33,22.0028,12,34,46
12,5,1,2011,1,3,0,10.66,11.365,33,22.0028,5,74,79
13,5,1,2011,1,3,0,11.48,12.88,30,19.9995,6,65,71
14,5,1,2011,1,3,0,12.3,14.395,28,12.998,10,52,62
15,5,1,2011,1,3,0,12.3,14.395,28,12.998,7,55,62
16,5,1,2011,1,3,0,12.3,15.91,28,6.0032,4,85,89
17,5,1,2011,1,3,0,9.84,11.365,38,12.998,4,186,190
18,5,1,2011,1,3,0,9.84,12.12,38,8.9981,3,166,169
19,5,1,2011,1,3,0,9.84,12.88,38,7.0015,5,127,132
20,5,1,2011,1,3,0,9.02,11.365,47,11.0014,7,82,89
21,5,1,2011,1,3,0,8.2,9.85,51,12.998,3,40,43
22,5,1,2011,1,3,0,7.38,9.85,55,8.9981,1,41,42
23,5,1,2011,1,3,0,8.2,12.88,47,0,1,18,19
0,6,1,2011,1,4,0,7.38,12.12,55,0,0,11,11
1,6,1,2011,1,4,0,6.56,11.365,64,0,0,4,4
2,6,1,2011,1,4,0,6.56,11.365,64,0,0,2,2
4,6,1,2011,1,4,0,6.56,9.85,64,6.0032,0,1,1
5,6,1,2011,1,4,0,5.74,9.09,69,6.0032,0,4,4
6,6,1,2011,1,4,0,5.74,8.335,63,7.0015,0,36,36
7,6,1,2011,1,4,0,6.56,11.365,59,0,0,95,95
8,6,1,2011,1,4,0,6.56,11.365,59,0,3,216,219
9,6,1,2011,1,4,0,7.38,12.12,51,0,6,116,122
10,6,1,2011,1,4,0,8.2,12.88,47,0,3,42,45
11,6,1,2011,1,4,0,9.02,12.88,44,6.0032,2,57,59
12,6,1,2011,1,4,0,10.66,14.395,35,0,6,78,84
13,6,1,2011,1,4,0,10.66,13.635,35,7.0015,12,55,67
14,6,1,2011,1,4,0,11.48,13.635,36,11.0014,11,59,70
15,6,1,2011,1,4,0,11.48,13.635,36,0,8,54,62
16,6,1,2011,1,4,0,10.66,12.88,38,11.0014,12,74,86
17,6,1,2011,1,4,0,9.02,11.365,51,11.0014,9,163,172
18,6,1,2011,1,4,0,9.02,11.365,51,8.9981,5,158,163
19,6,1,2011,1,4,0,9.02,12.88,55,6.0032,3,109,112
20,6,1,2011,1,4,0,8.2,10.605,51,11.0014,3,66,69
21,6,1,2011,1,4,0,9.02,10.605,55,15.0013,0,48,48
22,6,1,2011,1,4,0,9.02,10.605,51,19.0012,1,51,52
23,6,1,2011,1,4,0,8.2,9.85,59,12.998,4,19,23
0,7,1,2011,1,5,0,8.2,9.85,64,12.998,4,13,17
1,7,1,2011,1,5,0,8.2,9.85,69,15.0013,2,5,7
2,7,1,2011,1,5,0,8.2,9.85,69,15.0013,0,1,1
4,7,1,2011,1,5,0,8.2,10.605,69,8.9981,0,1,1
5,7,1,2011,1,5,0,9.02,13.635,55,0,0,5,5
6,7,1,2011,1,5,0,8.2,12.88,69,0,8,26,34
7,7,1,2011,1,5,0,8.2,10.605,69,8.9981,8,76,84
8,7,1,2011,1,5,0,8.2,9.85,51,16.9979,20,190,210
9,7,1,2011,1,5,0,8.2,9.09,47,19.9995,9,125,134
10,7,1,2011,1,5,0,9.02,9.85,37,22.0028,16,47,63
11,7,1,2011,1,5,0,8.2,9.85,40,15.0013,19,48,67
12,7,1,2011,1,5,0,8.2,9.85,37,16.9979,9,50,59
13,7,1,2011,1,5,0,8.2,9.09,37,19.0012,9,64,73
14,7,1,2011,1,5,0,8.2,9.85,40,16.9979,7,43,50
15,7,1,2011,1,5,0,8.2,10.605,37,11.0014,9,63,72
16,7,1,2011,1,5,0,8.2,10.605,37,11.0014,5,82,87
17,7,1,2011,1,5,0,8.2,12.88,37,0,9,178,187
18,7,1,2011,1,5,0,8.2,11.365,40,6.0032,7,116,123
19,7,1,2011,1,5,0,6.56,9.85,55,6.0032,3,92,95
20,7,1,2011,1,5,0,7.38,10.605,47,7.0015,1,50,51
21,7,1,2011,1,5,0,7.38,9.85,47,8.9981,0,39,39
22,7,1,2011,1,5,0,7.38,9.85,43,11.0014,2,34,36
23,7,1,2011,1,5,0,7.38,9.85,51,11.0014,1,14,15
0,8,1,2011,1,6,0,7.38,9.85,51,11.0014,1,24,25
1,8,1,2011,1,6,0,7.38,10.605,55,6.0032,1,15,16
2,8,1,2011,1,6,0,7.38,12.12,55,0,3,13,16
3,8,1,2011,1,6,0,7.38,9.85,55,11.0014,0,7,7
4,8,1,2011,1,6,0,7.38,9.85,55,11.0014,0,1,1
5,8,1,2011,1,6,0,6.56,8.335,74,11.0014,0,5,5
6,8,1,2011,1,6,0,6.56,8.335,74,11.0014,0,2,2
7,8,1,2011,1,6,0,6.56,9.09,74,7.0015,1,8,9
8,8,1,2011,1,6,0,6.56,9.09,93,7.0015,0,15,15
9,8,1,2011,1,6,0,6.56,9.09,93,7.0015,0,20,20
10,8,1,2011,1,6,0,7.38,9.85,80,11.0014,5,56,61
11,8,1,2011,1,6,0,8.2,9.09,69,26.0027,2,60,62
12,8,1,2011,1,6,0,8.2,9.09,59,23.9994,8,90,98
13,8,1,2011,1,6,0,8.2,9.09,44,22.0028,7,95,102
14,8,1,2011,1,6,0,8.2,8.335,32,32.9975,12,83,95
15,8,1,2011,1,6,0,8.2,8.335,32,30.0026,5,69,74
16,8,1,2011,1,6,0,7.38,6.82,29,30.0026,8,68,76
17,8,1,2011,1,6,0,6.56,6.06,37,36.9974,5,64,69
18,8,1,2011,1,6,0,5.74,6.06,39,19.9995,3,52,55
19,8,1,2011,1,6,0,5.74,6.06,36,16.9979,4,26,30
20,8,1,2011,1,6,0,4.92,6.06,36,16.9979,0,28,28
21,8,1,2011,1,6,0,4.92,5.305,39,23.9994,2,35,37
22,8,1,2011,1,6,0,4.92,5.305,36,26.0027,1,33,34
23,8,1,2011,1,6,0,4.1,3.03,39,30.0026,0,22,22
0,9,1,2011,1,7,0,4.1,3.79,42,26.0027,1,24,25
1,9,1,2011,1,7,0,4.1,3.03,42,31.0009,0,12,12
2,9,1,2011,1,7,0,4.1,3.03,46,31.0009,0,11,11
3,9,1,2011,1,7,0,4.1,3.79,46,27.9993,0,4,4
4,9,1,2011,1,7,0,3.28,4.545,53,12.998,0,1,1
5,9,1,2011,1,7,0,3.28,4.545,53,12.998,0,1,1
6,9,1,2011,1,7,0,4.1,4.545,49,19.0012,0,1,1
7,9,1,2011,1,7,0,3.28,4.545,53,12.998,1,5,6
8,9,1,2011,1,7,0,4.1,4.545,49,19.0012,0,10,10
9,9,1,2011,1,7,0,4.92,3.79,46,35.0008,0,19,19
10,9,1,2011,1,7,0,5.74,5.305,43,26.0027,0,49,49
11,9,1,2011,1,7,0,6.56,6.06,40,35.0008,2,47,49
12,9,1,2011,1,7,0,7.38,6.82,37,30.0026,4,79,83
13,9,1,2011,1,7,0,8.2,8.335,34,30.0026,6,69,75
14,9,1,2011,1,7,0,9.02,9.09,32,31.0009,8,64,72
15,9,1,2011,1,7,0,9.02,9.85,35,23.9994,5,77,82
16,9,1,2011,1,7,0,8.2,8.335,34,30.0026,13,79,92
17,9,1,2011,1,7,0,7.38,7.575,37,26.0027,3,59,62
18,9,1,2011,1,7,0,6.56,6.82,40,22.0028,4,44,48
19,9,1,2011,1,7,0,6.56,6.82,43,22.0028,1,40,41
20,9,1,2011,1,7,0,5.74,6.06,46,16.9979,0,38,38
21,9,1,2011,1,7,0,5.74,5.305,46,27.9993,1,19,20
22,9,1,2011,1,7,0,5.74,6.06,46,19.9995,5,10,15
23,9,1,2011,1,7,0,4.92,6.82,50,12.998,0,6,6
0,10,1,2011,1,1,0,4.92,6.06,50,19.0012,2,3,5
1,10,1,2011,1,1,0,4.92,6.06,50,19.0012,1,0,1
2,10,1,2011,1,1,0,4.92,6.06,50,15.0013,0,3,3
3,10,1,2011,1,1,0,4.92,6.06,50,15.0013,0,1,1
4,10,1,2011,1,1,0,4.1,6.06,54,8.9981,1,2,3
5,10,1,2011,1,1,0,4.1,5.305,54,16.9979,0,3,3
6,10,1,2011,1,1,0,4.92,6.06,50,19.0012,0,31,31
7,10,1,2011,1,1,0,4.92,6.06,50,15.0013,2,75,77
8,10,1,2011,1,1,0,4.92,6.06,50,19.0012,4,184,188
9,10,1,2011,1,1,0,5.74,6.06,50,16.9979,2,92,94
10,10,1,2011,1,1,0,5.74,6.06,50,19.9995,0,31,31
11,10,1,2011,1,1,0,6.56,6.82,47,19.0012,2,28,30
12,10,1,2011,1,1,0,8.2,9.09,40,19.0012,5,47,52
13,10,1,2011,1,1,0,8.2,9.09,40,19.0012,4,50,54
14,10,1,2011,1,1,0,8.2,9.85,40,15.0013,0,47,47
15,10,1,2011,1,1,0,8.2,9.85,40,15.0013,2,43,45
16,10,1,2011,1,1,0,8.2,10.605,40,8.9981,4,70,74
17,10,1,2011,1,1,0,8.2,11.365,40,7.0015,4,174,178
18,10,1,2011,1,1,0,8.2,9.85,40,15.0013,1,154,155
19,10,1,2011,1,1,0,6.56,8.335,47,11.0014,3,92,95
20,10,1,2011,1,1,0,6.56,8.335,50,11.0014,1,73,74
21,10,1,2011,1,1,0,5.74,6.82,59,12.998,1,37,38
22,10,1,2011,1,1,0,5.74,7.575,59,11.0014,2,22,24
23,10,1,2011,1,1,0,5.74,7.575,59,11.0014,0,18,18
0,11,1,2011,1,2,0,5.74,8.335,59,7.0015,2,10,12
1,11,1,2011,1,2,0,5.74,7.575,59,11.0014,0,3,3
2,11,1,2011,1,2,0,6.56,7.575,55,12.998,0,3,3
5,11,1,2011,1,2,0,6.56,9.09,55,8.9981,0,6,6
6,11,1,2011,1,2,0,6.56,9.09,55,8.9981,0,27,27
7,11,1,2011,1,2,0,6.56,11.365,55,0,2,97,99
8,11,1,2011,1,2,0,7.38,10.605,51,6.0032,3,214,217
9,11,1,2011,1,2,0,7.38,9.85,51,11.0014,3,127,130
10,11,1,2011,1,2,0,8.2,10.605,51,11.0014,3,51,54
11,11,1,2011,1,2,0,8.2,10.605,47,8.9981,4,31,35
12,11,1,2011,1,2,0,8.2,11.365,51,7.0015,2,55,57
13,11,1,2011,1,2,0,8.2,11.365,59,6.0032,6,46,52
14,11,1,2011,1,2,0,8.2,11.365,59,6.0032,3,60,63
15,11,1,2011,1,2,0,6.56,9.85,80,6.0032,2,45,47
16,11,1,2011,1,2,0,6.56,7.575,86,15.0013,4,72,76
17,11,1,2011,1,2,0,6.56,7.575,86,15.0013,6,130,136
18,11,1,2011,1,2,0,6.56,9.09,93,7.0015,1,94,95
19,11,1,2011,1,2,0,6.56,11.365,93,0,0,51,51
20,11,1,2011,1,2,0,6.56,7.575,93,12.998,0,32,32
21,11,1,2011,1,2,0,6.56,9.85,86,6.0032,0,20,20
22,11,1,2011,1,2,0,6.56,9.09,93,7.0015,1,28,29
23,11,1,2011,1,2,0,6.56,9.85,93,6.0032,1,18,19
0,12,1,2011,1,3,0,6.56,9.85,86,6.0032,0,7,7
1,12,1,2011,1,3,0,6.56,9.09,86,7.0015,0,6,6
2,12,1,2011,1,3,0,5.74,7.575,86,8.9981,0,1,1
5,12,1,2011,1,3,0,5.74,7.575,86,11.0014,0,5,5
6,12,1,2011,1,3,0,4.92,7.575,93,8.9981,0,16,16
7,12,1,2011,1,3,0,5.74,7.575,69,8.9981,0,54,54
8,12,1,2011,1,3,0,6.56,8.335,59,11.0014,3,125,128
9,12,1,2011,1,3,0,6.56,6.82,59,22.0028,3,78,81
10,12,1,2011,1,3,0,7.38,9.09,55,15.0013,0,39,39
11,12,1,2011,1,3,0,8.2,9.09,51,26.0027,3,32,35
12,12,1,2011,1,3,0,8.2,7.575,47,39.0007,3,52,55
13,12,1,2011,1,3,0,9.02,9.85,44,23.9994,0,49,49
14,12,1,2011,1,3,0,8.2,9.09,47,22.0028,0,44,44
15,12,1,2011,1,3,0,8.2,8.335,47,27.9993,1,48,49
16,12,1,2011,1,3,0,9.02,9.85,44,22.0028,5,63,68
17,12,1,2011,1,3,0,8.2,9.09,47,23.9994,0,139,139
18,12,1,2011,1,3,0,8.2,7.575,47,35.0008,2,135,137
19,12,1,2011,1,3,0,7.38,7.575,47,27.9993,1,82,83
20,12,1,2011,1,3,0,6.56,6.82,50,22.0028,2,54,56
21,12,1,2011,1,3,0,6.56,6.82,55,22.0028,0,57,57
22,12,1,2011,1,3,0,6.56,6.06,55,30.0026,1,32,33
23,12,1,2011,1,3,0,5.74,5.305,59,27.9993,1,19,20
0,13,1,2011,1,4,0,5.74,6.06,59,19.0012,1,6,7
1,13,1,2011,1,4,0,5.74,6.06,50,19.0012,0,2,2
2,13,1,2011,1,4,0,5.74,6.06,50,23.9994,0,2,2
3,13,1,2011,1,4,0,5.74,6.06,50,22.0028,0,3,3
4,13,1,2011,1,4,0,5.74,6.06,50,16.9979,0,4,4
5,13,1,2011,1,4,0,5.74,6.06,50,19.9995,0,3,3
6,13,1,2011,1,4,0,4.92,7.575,54,8.9981,0,28,28
7,13,1,2011,1,4,0,4.92,7.575,54,8.9981,0,72,72
8,13,1,2011,1,4,0,5.74,6.82,50,12.998,5,197,202
9,13,1,2011,1,4,0,5.74,6.06,50,22.0028,2,137,139
10,13,1,2011,1,4,0,6.56,6.82,50,23.9994,2,36,38
11,13,1,2011,1,4,0,8.2,8.335,44,30.0026,4,33,37
12,13,1,2011,1,4,0,8.2,8.335,44,27.9993,3,49,52
13,13,1,2011,1,4,0,9.02,9.85,41,30.0026,2,81,83
14,13,1,2011,1,4,0,9.02,9.85,41,26.0027,3,39,42
15,13,1,2011,1,4,0,9.84,10.605,38,19.9995,5,55,60
16,13,1,2011,1,4,0,9.84,10.605,38,23.9994,2,76,78
17,13,1,2011,1,4,0,8.2,9.09,40,19.0012,4,158,162
18,13,1,2011,1,4,0,8.2,9.09,40,22.0028,3,141,144
19,13,1,2011,1,4,0,6.56,7.575,47,16.9979,1,98,99
20,13,1,2011,1,4,0,6.56,7.575,47,15.0013,0,64,64
21,13,1,2011,1,4,0,5.74,6.06,46,19.9995,0,40,40
22,13,1,2011,1,4,0,5.74,6.06,46,22.0028,0,30,30
23,13,1,2011,1,4,0,4.92,6.82,50,12.998,1,14,15
0,14,1,2011,1,5,0,4.92,6.82,50,12.998,0,14,14
1,14,1,2011,1,5,0,4.1,6.06,54,11.0014,0,5,5
2,14,1,2011,1,5,0,4.1,6.06,54,8.9981,0,1,1
3,14,1,2011,1,5,0,4.1,6.82,54,7.0015,0,1,1
5,14,1,2011,1,5,0,4.1,6.82,54,6.0032,0,8,8
6,14,1,2011,1,5,0,4.1,9.09,54,0,0,17,17
7,14,1,2011,1,5,0,4.1,6.06,74,11.0014,0,70,70
8,14,1,2011,1,5,0,4.92,8.335,68,0,2,156,158
9,14,1,2011,1,5,0,5.74,7.575,69,8.9981,0,117,117
10,14,1,2011,1,5,0,7.38,9.09,55,12.998,4,40,44
11,14,1,2011,1,5,0,7.38,8.335,51,19.0012,6,47,53
12,14,1,2011,1,5,0,8.2,9.85,44,16.9979,2,59,61
13,14,1,2011,1,5,0,9.02,9.85,37,26.0027,4,73,77
14,14,1,2011,1,5,0,9.02,10.605,41,19.0012,5,59,64
15,14,1,2011,1,5,0,9.84,12.12,38,11.0014,9,59,68
16,14,1,2011,1,5,0,9.02,12.12,41,7.0015,3,87,90
17,14,1,2011,1,5,0,9.02,11.365,41,11.0014,4,155,159
18,14,1,2011,1,5,0,8.2,12.88,47,0,5,134,139
19,14,1,2011,1,5,0,6.56,9.85,59,6.0032,3,89,92
20,14,1,2011,1,5,0,7.38,12.12,59,0,0,68,68
21,14,1,2011,1,5,0,6.56,11.365,69,0,4,48,52
22,14,1,2011,1,5,0,6.56,11.365,69,0,2,34,36
23,14,1,2011,1,5,0,7.38,12.12,55,0,1,26,27
0,15,1,2011,1,6,0,7.38,12.12,55,0,3,25,28
1,15,1,2011,1,6,0,6.56,9.85,59,6.0032,2,18,20
2,15,1,2011,1,6,0,6.56,9.85,59,6.0032,0,12,12
3,15,1,2011,1,6,0,6.56,11.365,59,0,1,7,8
4,15,1,2011,1,6,0,6.56,11.365,59,0,0,5,5
5,15,1,2011,1,6,0,6.56,11.365,59,0,0,1,1
6,15,1,2011,1,6,0,5.74,8.335,63,7.0015,1,2,3
7,15,1,2011,1,6,0,5.74,10.605,63,0,1,9,10
8,15,1,2011,1,6,0,5.74,7.575,63,8.9981,1,22,23
9,15,1,2011,1,6,0,6.56,9.09,64,8.9981,2,31,33
10,15,1,2011,1,6,0,7.38,9.85,59,11.0014,2,57,59
11,15,1,2011,1,6,0,8.2,9.85,55,15.0013,18,54,72
12,15,1,2011,1,6,0,9.84,11.365,48,15.0013,15,74,89
13,15,1,2011,1,6,0,11.48,12.88,38,19.9995,21,80,101
14,15,1,2011,1,6,0,12.3,14.395,39,19.0012,26,92,118
15,15,1,2011,1,6,0,13.12,15.91,36,12.998,21,108,129
16,15,1,2011,1,6,0,13.94,16.665,34,12.998,33,95,128
17,15,1,2011,1,6,0,13.12,15.15,36,19.0012,29,54,83
18,15,1,2011,1,6,0,12.3,14.395,45,16.9979,15,69,84
19,15,1,2011,1,6,0,13.12,15.15,39,16.9979,14,60,74
20,15,1,2011,1,6,0,13.12,15.15,39,16.9979,6,35,41
21,15,1,2011,1,6,0,13.12,15.15,39,15.0013,6,51,57
22,15,1,2011,1,6,0,12.3,15.91,42,7.0015,0,26,26
23,15,1,2011,1,6,0,12.3,14.395,45,19.0012,5,39,44
0,16,1,2011,1,7,0,10.66,15.15,56,0,6,33,39
1,16,1,2011,1,7,0,10.66,13.635,56,8.9981,4,19,23
2,16,1,2011,1,7,0,10.66,14.395,56,6.0032,3,13,16
3,16,1,2011,1,7,0,9.02,13.635,69,0,9,6,15
4,16,1,2011,1,7,0,10.66,12.88,56,11.0014,0,1,1
5,16,1,2011,1,7,0,10.66,12.88,56,11.0014,1,1,2
6,16,1,2011,1,7,0,10.66,12.88,56,11.0014,0,1,1
7,16,1,2011,1,7,0,9.84,10.605,56,19.9995,0,3,3
8,16,1,2011,1,7,0,9.02,10.605,55,19.0012,0,18,18
9,16,1,2011,1,7,0,9.02,10.605,51,16.9979,3,29,32
10,16,1,2011,1,7,0,9.02,10.605,51,19.0012,8,71,79
11,16,1,2011,1,7,0,9.84,11.365,44,16.9979,23,70,93
12,16,1,2011,1,7,0,9.84,10.605,41,19.0012,29,75,104
13,16,1,2011,1,7,0,10.66,11.365,35,19.9995,23,95,118
14,16,1,2011,1,7,0,11.48,13.635,36,16.9979,22,69,91
15,16,1,2011,1,7,0,10.66,12.12,38,16.9979,35,78,113
16,16,1,2011,1,7,0,9.84,11.365,38,15.0013,22,77,99
17,16,1,2011,1,7,0,9.02,10.605,37,16.9979,23,82,105
18,16,1,2011,1,7,0,8.2,10.605,40,11.0014,11,56,67
19,16,1,2011,1,7,0,7.38,9.85,47,8.9981,14,47,61
20,16,1,2011,1,7,0,7.38,9.85,47,11.0014,7,50,57
21,16,1,2011,1,7,0,7.38,9.85,51,11.0014,6,22,28
22,16,1,2011,1,7,0,8.2,10.605,49,8.9981,2,19,21
23,16,1,2011,1,7,0,8.2,11.365,40,7.0015,0,18,18
0,17,1,2011,1,1,1,8.2,9.85,47,15.0013,1,16,17
1,17,1,2011,1,1,1,8.2,9.85,44,12.998,1,15,16
2,17,1,2011,1,1,1,7.38,8.335,43,16.9979,0,8,8
3,17,1,2011,1,1,1,7.38,9.09,43,12.998,0,2,2
4,17,1,2011,1,1,1,7.38,9.85,43,8.9981,1,2,3
5,17,1,2011,1,1,1,7.38,9.85,43,11.0014,0,1,1
6,17,1,2011,1,1,1,7.38,9.09,43,12.998,0,5,5
7,17,1,2011,1,1,1,6.56,9.09,50,8.9981,4,9,13
8,17,1,2011,1,1,1,6.56,7.575,47,15.0013,3,30,33
9,17,1,2011,1,1,1,6.56,7.575,47,15.0013,8,39,47
10,17,1,2011,1,1,1,6.56,7.575,50,16.9979,7,50,57
11,17,1,2011,1,1,1,6.56,7.575,55,12.998,9,55,64
12,17,1,2011,1,1,1,7.38,9.85,47,8.9981,10,70,80
13,17,1,2011,1,1,1,7.38,9.85,47,8.9981,13,80,93
14,17,1,2011,1,1,1,7.38,10.605,43,7.0015,12,74,86
15,17,1,2011,1,1,1,8.2,10.605,47,11.0014,21,72,93
